# These sectors are used for sharing between consumption of domestically produced crops versus imports
region,supplysector,output.unit,input.unit,price.unit,logit.year.fillout,logit.exponent,logit.type
Africa_Northern,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Southern,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Western,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Australia_NZ,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Brazil,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Canada,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Central America and Caribbean,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Central Asia,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
China,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
EU-12,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
EU-15,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Eastern,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Non_EU,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
European Free Trade Association,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
India,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Indonesia,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Japan,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Mexico,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Middle East,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Pakistan,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Russia,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
South Africa,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
South America_Northern,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
South America_Southern,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
South Asia,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
South Korea,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Southeast Asia,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Taiwan,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Argentina,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
Colombia,regional palmfruit,Mt,Mt,1975$/kg,1975,-3,NA
USA,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Eastern,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Northern,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Southern,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Western,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Australia_NZ,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Brazil,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Canada,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Central America and Caribbean,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Central Asia,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
China,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
EU-12,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
EU-15,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Eastern,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Non_EU,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
European Free Trade Association,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
India,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Indonesia,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Japan,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Mexico,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Middle East,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Pakistan,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Russia,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
South Africa,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
South America_Northern,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
South America_Southern,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
South Asia,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
South Korea,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Southeast Asia,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Taiwan,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Argentina,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
Colombia,regional rice,Mt,Mt,1975$/kg,1975,-3,NA
USA,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Eastern,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Northern,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Southern,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Western,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Australia_NZ,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Brazil,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Canada,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Central America and Caribbean,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Central Asia,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
China,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
EU-12,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
EU-15,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Eastern,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Non_EU,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
European Free Trade Association,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
India,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Indonesia,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Japan,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Mexico,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Middle East,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Pakistan,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Russia,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
South Africa,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
South America_Northern,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
South America_Southern,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
South Asia,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
South Korea,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Southeast Asia,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Taiwan,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Argentina,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
Colombia,regional root_tuber,Mt,Mt,1975$/kg,1975,-3,NA
USA,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Eastern,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Northern,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Southern,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Western,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Australia_NZ,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Brazil,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Canada,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Central America and Caribbean,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Central Asia,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
China,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
EU-12,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
EU-15,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Eastern,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Non_EU,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
European Free Trade Association,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
India,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Indonesia,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Japan,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Mexico,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Middle East,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Pakistan,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Russia,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
South Africa,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
South America_Northern,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
South America_Southern,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
South Asia,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
South Korea,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Southeast Asia,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Taiwan,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Argentina,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
Colombia,regional sugarcrop,Mt,Mt,1975$/kg,1975,-3,NA
USA,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Eastern,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Northern,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Southern,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Western,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Australia_NZ,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Brazil,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Canada,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Central America and Caribbean,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Central Asia,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
China,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
EU-12,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
EU-15,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Eastern,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Non_EU,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
European Free Trade Association,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
India,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Indonesia,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Japan,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Mexico,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Middle East,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Pakistan,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Russia,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
South Africa,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
South America_Northern,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
South America_Southern,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
South Asia,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
South Korea,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Southeast Asia,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Taiwan,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Argentina,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
Colombia,regional wheat,Mt,Mt,1975$/kg,1975,-3,NA
USA,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Africa_Eastern,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Africa_Northern,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Africa_Southern,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Africa_Western,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Australia_NZ,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Brazil,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Canada,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Central America and Caribbean,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Central Asia,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
China,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
EU-12,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
EU-15,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Europe_Eastern,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Europe_Non_EU,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
European Free Trade Association,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
India,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Indonesia,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Japan,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Mexico,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Middle East,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Pakistan,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Russia,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
South Africa,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
South America_Northern,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
South America_Southern,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
South Asia,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
South Korea,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Southeast Asia,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Taiwan,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Argentina,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
Colombia,regional beef,Mt,Mt,1975$/kg,1975,-3.9,NA
USA,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
